"band","cohort","year","fpop","age","spf","x","y"
10801,NA,1,34,NA,0,5,2.25
10806,NA,1,34,NA,1,2.75,2.75
10813,NA,1,34,NA,3,13,3.5
10825,NA,1,34,NA,1,8.375,2.875
10829,NA,1,34,NA,1,10.75,1.5
10833,NA,1,34,NA,2,18.4375,3.5625
10834,NA,1,34,NA,0,8,3.75
10835,NA,1,34,NA,0,14.083333333,3.8333333333
10836,NA,1,34,NA,2,18.75,3.625
10837,NA,1,34,NA,3,16.333333333,3.8333333333
10842,NA,1,34,NA,2,16.25,2
10843,NA,1,34,NA,2,12.5,1.875
10848,NA,1,34,NA,3,20.8125,3.375
10857,NA,1,34,NA,1,25.25,4
10860,NA,1,34,NA,1,20.625,2.375
10864,NA,1,34,NA,1,26.625,1.625
10872,NA,1,34,NA,0,26.833333333,3.6666666667
10887,NA,1,34,NA,0,28.25,4
10893,NA,1,34,NA,1,11.125,3.125
10903,NA,1,34,NA,0,6.25,3.375
10905,NA,1,34,NA,5,3.625,2.625
10913,NA,1,34,NA,0,11.5,2.25
10920,NA,1,34,NA,1,31.125,2.5
10923,NA,1,34,NA,0,27.875,1.75
10928,NA,1,34,NA,6,10,3.5
10947,NA,1,34,NA,1,25.5,1.75
10960,NA,1,34,NA,0,31.375,3.375
10968,NA,1,34,NA,0,6,2
10973,NA,1,34,NA,0,29.583333333,3.5
10974,NA,1,34,NA,0,14.375,2.375
30301,NA,1,34,NA,2,9.875,2.375
30302,NA,1,34,NA,0,7.625,3
30303,NA,1,34,NA,2,4.75,3.5
30304,NA,1,34,NA,2,24,4.5
10801,NA,2,30,NA,6,4.75,2.25
10813,NA,2,30,NA,3,13.375,3.625
10829,NA,2,30,NA,4,11,1.5
10834,NA,2,30,NA,3,8,3.5
10836,NA,2,30,NA,4,19.75,3.375
10837,NA,2,30,NA,5,16.333333333,3.4166666667
10842,NA,2,30,NA,4,15.875,2
10860,NA,2,30,NA,3,21.333333333,3.75
10864,NA,2,30,NA,3,26.625,1.625
10883,NA,2,30,NA,6,22.25,4.25
10893,NA,2,30,NA,2,11.583333333,3.0833333333
10905,NA,2,30,NA,8,3.25,2.75
10913,NA,2,30,NA,5,10.25,3.25
10920,NA,2,30,NA,4,31,2.25
10923,NA,2,30,NA,5,28,2.25
10928,NA,2,30,NA,4,10.125,2.375
10952,2,2,30,1,2,18.625,2
10960,NA,2,30,NA,7,28.25,3.5
10968,NA,2,30,NA,0,6.875,2.4375
10973,NA,2,30,NA,6,29.833333333,3.4166666667
10974,NA,2,30,NA,3,14.125,1.875
30302,NA,2,30,NA,0,7.25,3.75
30303,NA,2,30,NA,6,5.375,3.75
30304,NA,2,30,NA,2,23.5,3.75
37403,2,2,30,1,3,31,3.75
37406,2,2,30,1,0,10.375,2.875
37408,2,2,30,1,5,3.875,3
37418,NA,2,30,NA,0,17.416666667,4.0833333333
37431,NA,2,30,NA,4,26.583333333,3.5833333333
37487,NA,2,30,NA,5,8.625,3.25
10801,NA,3,45,NA,3,4.625,2.25
10813,NA,3,45,NA,6,13.125,3.25
10829,NA,3,45,NA,3,11.25,1.875
10836,NA,3,45,NA,6,19.4375,3.625
10837,NA,3,45,NA,6,16.125,3.5
10842,NA,3,45,NA,5,15.375,3.375
10860,NA,3,45,NA,4,21,3.5
10883,NA,3,45,NA,2,22.166666667,4.25
10893,NA,3,45,NA,1,12,3.25
10905,NA,3,45,NA,7,3.75,3
10913,NA,3,45,NA,2,11.25,5.25
10920,NA,3,45,NA,4,30.75,2.6875
10928,NA,3,45,NA,6,10.416666667,3.4166666667
10960,NA,3,45,NA,6,28.125,3.25
10968,NA,3,45,NA,6,4.75,4.3333333333
30303,NA,3,45,NA,7,5.6666666667,3.75
37406,2,3,45,2,7,10.125,1.375
37418,NA,3,45,NA,0,17.75,4.0833333333
37431,NA,3,45,NA,5,23.125,4.125
37437,3,3,45,1,7,23.375,2.375
37444,3,3,45,1,2,11.875,3.5
37451,3,3,45,1,3,20.75,2.75
37458,3,3,45,1,5,28,2
37460,3,3,45,1,6,2.75,4.125
37462,3,3,45,1,4,7.5,3.9166666667
37466,3,3,45,1,1,8,4
37467,3,3,45,1,6,26.5,1.75
37468,3,3,45,1,5,29.625,3.75
37472,3,3,45,1,3,14.25,4
37476,3,3,45,1,4,3.75,2.25
37492,3,3,45,1,5,13.666666667,2.3333333333
37493,3,3,45,1,5,3.125,2.625
37498,3,3,45,1,3,26.25,3.375
74301,3,3,45,1,5,18.75,2.375
74307,3,3,45,1,6,1.0833333333,3.9166666667
74308,3,3,45,1,2,25.25,3.875
74314,3,3,45,1,3,4.75,4.3333333333
74318,3,3,45,1,3,25.375,1.875
74322,3,3,45,1,0,NA,NA
74323,3,3,45,1,1,NA,NA
74326,3,3,45,1,3,24.75,4.375
74335,3,3,45,1,0,16.5,1.875
74342,3,3,45,1,5,12.75,1.875
74352,3,3,45,1,6,9.25,3.75
74371,NA,3,45,NA,4,31.583333333,3.3333333333
10801,NA,4,48,NA,1,4.75,2.25
10829,NA,4,48,NA,5,10,1.75
10836,NA,4,48,NA,6,20.25,3
10837,NA,4,48,NA,4,15.416666667,2.8333333333
10905,NA,4,48,NA,3,3.75,2.5
10928,NA,4,48,NA,3,10.5,3.25
10960,NA,4,48,NA,7,29.75,3.5833333333
30529,4,4,48,1,2,12.125,2.625
30535,4,4,48,1,3,22.625,3.625
30554,4,4,48,1,3,13.5,3.25
30581,4,4,48,1,6,9.5,4.25
30595,4,4,48,1,8,11,2
30597,4,4,48,1,7,8.1666666667,3.4166666667
30601,4,4,48,1,4,21.875,4.25
30602,4,4,48,1,0,10,2.5
30604,4,4,48,1,6,20.875,3.25
30615,4,4,48,1,2,17.625,3.75
30627,4,4,48,1,1,16.5,2
30628,4,4,48,1,4,5.8333333333,3.5833333333
30629,4,4,48,1,5,6.875,2.125
30635,4,4,48,1,9,30.833333333,2.1666666667
30640,4,4,48,1,2,31.75,3.25
30646,4,4,48,1,8,11.125,4.875
30652,4,4,48,1,7,12.625,1.75
30661,4,4,48,1,9,16.333333333,3.5833333333
30665,4,4,48,1,6,26.666666667,3.4166666667
30670,4,4,48,1,8,4.375,3.125
30681,4,4,48,1,9,28.083333333,3.5
30683,4,4,48,1,4,14.583333333,2.9166666667
30699,4,4,48,1,4,22.25,4.375
37437,3,4,48,2,7,23,2.25
37444,3,4,48,2,3,12.125,3.25
37451,3,4,48,2,7,19.875,3.125
37460,3,4,48,2,4,2.75,3.625
37462,3,4,48,2,6,7.375,3.125
37467,3,4,48,2,6,28,2
